Community Policing,4373653.0115,172475.8424
Other,4021946.6886,388840.7002
Theft,4074574.0843,524898.5293
Disorder,4156488.3424,327450.0939
Property Crime,4192147.7287,298168.9136
Disorder,4130607.6796,327565.3636
Vehicle Stop,4130917.1916,328704.2384
Liquor,4161884.2169,326127.2113
Alarm,4130930.2982,327753.1104
Theft,4156011.4028,323758.2052
Other,4374451.5562,172914.802
Traffic,4128757.0379,328474.5981
Traffic,4129040.5995,328386.4146
Traffic,4159199.0037,324382.1788
Other,4130603.9217,325921.4922
Family Offense,3762196.1284,672086.8536
Other,4129732.1412,328344.0889
Emergency,4130450.0054,325477.8103
Alarm,4130568.2994,328560.069
Theft,4191805.5181,298204.1349
Breaking & Entering,4160680.3144,325092.6668
Theft,4149526.4486,330294.3852
Drugs,4159143.627,328025.0911
Theft,4176556.6157,330117.4178
Traffic,4373653.0115,172475.8424
Traffic,4021338.3133,388282.7271
Theft,3912241.2968,583248.6211
Breaking & Entering,4023185.3145,389186.3165
Missing Person,4306272.8783,407286.8417
Disorder,4129449.7555,326617.6061
Disorder,4160767.8138,318002.3584
Theft,4155017.7909,327920.7363
Traffic,3761380.6924,670451.7516
Theft,4095184.6367,326206.3771
Alarm,4130930.2982,327753.1104
Liquor,4155165.7623,327430.0741
Vehicle Recovery,3761908.8922,670273.002
Traffic,4129350.1187,328108.8234
Theft,4176659.9779,334755.9847
Theft,4178114.8697,327823.4588
Community Policing,4131679.2008,328009.3685
Community Policing,4373792.2204,173761.9676
Liquor,4158740.5016,324305.5538
Community Policing,4131791.7395,328024.8872
Vehicle Stop,4374747.9513,172329.6405
Traffic,4371502.4478,172459.153
Community Policing,4374418.4014,173206.5737
Family Offense,4159918.4082,321657.1091
Breaking & Entering,4160033.23,324606.3531
Theft,4160219.7155,322872.1659
Traffic,4374470.0852,172453.4785
Drugs,4197794.5151,297748.2638
Community Policing,4372852.9177,172168.1699
Other,4128179.8327,326245.3309
Theft,4162270.1884,319747.5531
Community Policing,4130079.5854,324804.5291
Other,4130959.273,325727.6907
Breaking & Entering,4021798.5236,388251.9281
Other,4130083.5519,324704.0188
Community Policing,4160495.4053,322465.423
Disorder,4130932.0104,327661.1711
Vehicle Stop,4128530.0703,327471.2439
Assault,4021748.5721,387452.0704
Other,4130784.5843,327657.3858
Alarm,4375145.4278,172369.7068
Alarm,4130953.8271,326499.252
Disorder,4021654.3396,388762.5875
Disorder,4177763.0926,330889.2357
Disorder,4373641.6037,172718.9234
Community Policing,4131210.9176,328730.4684
Other Sexual Offense,3760702.7303,669894.5328
Alarm,4161095.3879,319081.7715
Theft,4191627.299,298205.8819
Theft,4191735.9472,298842.5839
Theft,4192891.228,298610.2182
Theft,3761793.5642,671719.7585
Property Crime,4023199.0618,387449.0463
Traffic,4023376.4326,389402.8172
Other,4095734.4097,325056.0539
Theft,4163730.2431,323315.3986
Property Crime,4217484.3082,310356.3713
Other Sexual Offense,3762498.8809,670417.0811
Theft,4159284.802,325278.4379
Theft,4160714.3835,327019.7777
Liquor,4178226.0683,329272.5013
Theft,4195872.1115,318244.7541
Theft,4201897.6848,319012.9375
Theft,4214060.4675,301512.4762
Emergency,4130139.4191,327576.0059
Property Crime,4375698.5252,172086.1646
Emergency,4130563.3542,328717.236
Fire,4129990.6648,328708.605
Disorder,4374158.5353,172755.3716
Other,4374462.6039,172320.3242
Community Policing,4307708.9351,407266.6526
Disorder,4130902.3518,326921.1132
Liquor,4130925.6316,327733.7892
Vehicle Stop,4130966.7559,327039.6406
